obs_id,index,object_id,object_name,object_name_2MASS,object_name_HIP,object_name_HR,object_name_TYC,object_name_SAO,folder,date_obs,obs_start,obs_end,infrared_filter,irdis_dual_filter,tel_ambi_fwhm_mean,tel_tau0_mean,tel_ambi_windsp,windSpeed_200_asm,seeing_sparta_min,seeing_sparta_max,seeing_sparta_avg,seeing_tel_ia_fwhmlinobs,seeing_tel_ia_fwhmlin,seeing_tel_ia_fwhm,seeing_ambi_fwhm,mass_turbfwhm_asm,mass_fwhm_asm,dimm_fwhm_asm,historical_ambient_fwhm_asm,mass_tau0_asm,mass_tau_asm,historical_ambient_tau_asm,mass_tau0_ms_asm,mass_tau_ms_asm,historical_ambient_tau_ms_asm,tel_ambi_tau0,strehl_sparta_avg,strehl_sparta_max,strehl_sparta_min,flux_K,flux_H,flux_R,flux_G,NAXIS1,n_frames,rot_max,mtime,missing_psf,split,status_obs,comment,found,waffle_amplitude,is_lwe,category,seeing_final,tau_final,analytical_strehl,obs_category,analytical_strehl2,obs_category2,obs_category3,valid_frames
HD_218396__2017-06-15__10-12-26,166,HD_218396,HIP_114189,,HIP_114189,HR_8799,TYC_1718-2350-1,SAO_91022,HD 218396f_DB_H23_2017-06-14_ird_convert_recenter_dc2022_COBREX_waffles_only_332112,2017-06-15T10:12:26.14,2017-06-15T09:41:37.01,2017-06-15T10:43:15.27,DB_H23,B_H,0.92,2.8,11.45,35.7434,0.4565,1.0313,0.6578,1.4,1.13,1.0,1.0,0.8882,0.3317,0.893,,0.003,0.0074,,3.0402,7.3985,,2.7,0.9253,0.9506,0.8687,5.24,5.28,,5.9107,144,144,19.2834,2022-06-24_22-47-51,0,train,0.0,interactive,,0.04,0,1,0.893,3.0402,0.8458,2,0.9256,2,1,84
HD_220825__2015-09-25__03-36-55,173,HD_220825,HIP_115738,,HIP_115738,HR_8911,TYC_578-1415-1,SAO_128186,HIP 115738_DB_H23_2015-09-24_ird_convert_recenter_dc2022_COBREX_335233,2015-09-25T03:36:55.85,2015-09-25T02:54:10.14,2015-09-25T04:19:41.35,DB_H23,B_H,1.32,3.1,6.43,45.898,0.3959,1.0423,0.6315,1.15,1.08,1.03,1.0,,,,1.2458,,,0.0032,,,3.2076,4.2,0.8457,0.8865,0.7252,4.96,4.97,4.87,4.9155,300,300,41.3384,2022-06-25_18-40-44,0,train,0.0,interactive,,0.04,0,1,1.2458,3.2076,0.7774,1,0.8954,2,1,234
HD_25284__2015-09-30__07-14-00,178,HD_25284,HD_25284,,,,TYC_6461-1120-1,SAO_169022,2MASS J04000395-2902280_DB_H23_2015-09-29_ird_convert_recenter_dc2022_COBREX_329046,2015-09-30T07:14:00.63,2015-09-30T06:38:25.29,2015-09-30T07:49:36.00,DB_H23,B_H,1.34,1.9,6.85,33.33,0.3131,1.3734,0.6079,1.05,1.03,0.98,1.0,,,,1.3452,,,0.002,,,1.9853,1.3,0.7189,0.7744,0.6195,7.201,7.386,,9.7487,128,128,-38.753,2022-06-13_12-26-29,0,train,0.0,interactive,,0.06,0,1,1.3452,1.9853,0.5226,0,0.6914,0,0,74
HD_29391__2015-12-26__02-28-43,180,HD_29391,51_ERI,,HIP_21547,HR_1474,TYC_4739-1551-1,SAO_131358,HIP 21547_DB_H23_2015-12-25_ird_convert_recenter_dc2022_COBREX_335548,2015-12-26T02:28:43.69,2015-12-26T01:52:08.27,2015-12-26T03:05:18.65,DB_H23,B_H,1.18,1.8,3.13,26.8332,0.5248,1.3223,0.8176,1.4,1.33,1.24,1.0,,,,1.6333,,,0.0014,,,1.376,1.8,0.8193,0.8756,0.6694,4.537,4.77,,5.1412,256,256,37.5614,2022-06-25_22-39-14,0,train,0.0,interactive,,0.04,0,1,1.6333,1.376,0.6201,1,0.825,1,0,197
HD_29391__2016-01-16__01-44-58,181,HD_29391,HIP_21547,,HIP_21547,HR_1474,TYC_4739-1551-1,SAO_131358,HIP 21547_DB_H23_2016-01-15_ird_convert_recenter_dc2022_COBREX_331426,2016-01-16T01:44:58.75,2016-01-16T01:08:23.42,2016-01-16T02:21:37.00,DB_H23,B_H,1.91,1.3,12.9,27.7073,0.665,1.432,0.9329,1.55,1.47,18.31,1.0,,,,1.8961,,,0.0013,,,1.3083,1.1,0.8062,0.8696,0.6437,4.537,4.77,,5.1412,256,256,41.8108,2022-06-22_15-32-38,0,train,0.0,interactive,,0.04,0,0,1.8961,1.3083,0.5568,1,0.7878,0,0,171
HD_3003__2016-09-16__05-31-23,186,HD_3003,HIP_2578,,HIP_2578,HR_136,TYC_8844-1521-1,SAO_248208,HIP 2578_DB_H23_2016-09-15_ird_convert_recenter_dc2022_COBREX_332850,2016-09-16T05:31:23.01,2016-09-16T04:47:37.66,2016-09-16T06:15:10.40,DB_H23,B_H,0.54,6.2,7.43,17.2825,-1.0,-1.0,-1.0,1.11,0.96,0.89,1.0,0.61,0.2617,0.551,,0.0062,0.013,,6.179,13.0144,,7.4,-1.0,-1.0,-1.0,4.985,5.156,,5.055,80,80,-31.5309,2022-06-25_04-42-29,0,train,0.0,interactive,,0.03,0,2,0.551,6.179,0.9325,2,0.9671,2,2,80
HD_35114__2017-02-12__01-09-44,193,HD_35114,HIP_24947,,HIP_24947,,TYC_7599-832-1,SAO_195766,HIP 24947_DB_H23_2017-02-11_ird_convert_recenter_dc2022_COBREX_335283,2017-02-12T01:09:44.92,2017-02-12T00:16:42.84,2017-02-12T02:05:03.76,DB_H23,B_H,1.03,4.5,5.85,33.5393,0.5271,1.2905,0.7298,1.2,1.16,1.08,0.8,,,1.0411,,,,,,,,5.4,0.7706,0.8311,0.6204,6.144,6.218,,7.2616,96,96,-72.9412,2022-06-25_18-57-02,0,train,0.0,interactive,,0.04,0,1,1.0411,4.5,0.815,2,0.8865,1,1,79
HD_377__2016-10-14__02-57-13,195,HD_377,HIP_682,,HIP_682,,TYC_7-632-1,SAO_109027,HIP 682_DB_H23_2016-10-13_ird_convert_recenter_dc2022_COBREX_330679,2016-10-14T02:57:13.01,2016-10-14T02:13:19.40,2016-10-14T03:41:10.77,DB_H23,B_H,0.63,2.8,6.03,54.9043,-1.0,-1.0,-1.0,0.98,0.89,0.81,1.4,0.7518,0.3502,0.6562,,0.0028,0.0032,,2.8467,3.1604,,2.0,-1.0,-1.0,-1.0,6.116,6.149,,7.4505,80,80,35.7508,2022-06-17_18-36-49,0,train,0.0,interactive,,0.03,0,1,0.6562,2.8467,0.8652,2,0.9093,2,1,64
HD_45270__2016-01-16__03-24-43,214,HD_45270,HIP_30314,,HIP_30314,,TYC_8894-491-1,SAO_249526,HIP 30314_DB_H23_2016-01-15_ird_convert_recenter_dc2022_COBREX_331427,2016-01-16T03:24:43.22,2016-01-16T02:48:09.13,2016-01-16T04:01:19.82,DB_H23,B_H,1.69,1.6,10.6,26.644,0.6092,1.5366,0.9249,1.46,1.29,1.2,1.0,,,,1.6921,,,0.0016,,,1.553,1.9,0.7833,0.8431,0.6485,5.045,5.16,,6.3652,256,256,-28.3446,2022-06-22_15-32-38,0,train,0.0,interactive,,0.04,0,0,1.6921,1.553,0.6179,1,0.8117,1,0,180
HD_55279__2015-12-27__05-19-54,216,HD_55279,HIP 33737,,HIP_33737,,TYC_9388-1112-1,,HIP 33737_DB_H23_2015-12-26_ird_convert_recenter_dc2022_COBREX_331871,2015-12-27T05:19:54.98,2015-12-27T04:44:45.11,2015-12-27T05:55:03.82,DB_H23,B_H,1.58,2.2,1.38,20.8227,0.4203,1.0157,0.5546,1.44,1.03,0.84,1.0,,,,1.4704,,,0.0025,,,2.4763,1.9,0.7346,0.7657,0.6652,7.652,7.831,,9.7772,64,64,-19.2161,2022-06-24_21-02-16,0,train,0.0,interactive,,0.04,1,0,1.4704,2.4763,0.5484,0,0.6908,-1,-1,64
HD_55279__2017-02-08__02-59-38,217,HD_55279,HIP_33737,,HIP_33737,,TYC_9388-1112-1,,HIP 33737_DB_H23_2017-02-07_ird_convert_recenter_dc2022_COBREX_waffles_only_333506,2017-02-08T02:59:38.96,2017-02-08T02:03:09.51,2017-02-08T04:00:42.80,DB_H23,B_H,0.6,6.7,4.53,29.7862,0.4954,1.2123,0.7077,1.63,1.17,0.95,1.0,,,0.5946,,,,,,,,6.9,0.7149,0.7798,0.6346,7.652,7.831,,9.7772,78,78,-32.2407,2022-06-25_07-59-43,0,train,0.0,interactive,,0.04,0,2,0.5946,6.7,0.807,2,0.7949,0,2,67
HD_56022__2016-03-30__00-11-02,219,HD_56022,HIP_34899,,HIP_34899,HR_2746,TYC_8119-1757-1,SAO_218546,HIP 34899_DB_H23_2016-03-29_ird_convert_recenter_dc2022_COBREX_waffles_only_328271,2016-03-30T00:11:02.49,2016-03-29T23:26:27.21,2016-03-30T00:55:37.51,DB_H23,B_H,0.93,3.3,4.75,26.7939,0.2529,1.0621,0.4228,1.02,0.96,0.89,1.4,,,,1.0038,,,0.0033,,,3.2925,2.3,0.913,0.9358,0.8101,4.874,4.949,,4.8553,80,80,-47.7005,2022-06-08_16-05-51,0,train,0.0,interactive,,0.03,0,2,1.0038,3.2925,0.831,2,0.9226,2,1,66
HD_71155__2016-01-19__05-00-11,222,HD_71155,HIP_41307,,HIP_41307,HR_3314,TYC_4857-2151-1,SAO_135896,HIP 41307_DB_H23_2016-01-18_ird_convert_recenter_dc2022_COBREX_332035,2016-01-19T05:00:11.88,2016-01-19T04:26:27.46,2016-01-19T05:33:56.41,DB_H23,B_H,1.8,1.6,7.75,30.5316,0.4519,1.3227,0.7085,1.33,1.27,1.16,1.0,,,,1.7595,,,0.0016,,,1.6235,1.3,0.8791,0.9176,0.7485,3.93,3.92,3.87,3.9023,448,448,40.4293,2022-06-24_22-31-22,0,train,0.0,interactive,,0.04,0,0,1.7595,1.6235,0.614,1,0.8183,1,0,325
HD_75416__2016-12-13__07-47-26,228,HD_75416,HIP_42637,,HIP_42637,HR_3502,TYC_9403-1986-1,SAO_256543,HIP 42637_DB_H23_2016-12-12_ird_convert_recenter_dc2022_COBREX_waffles_only_333321,2016-12-13T07:47:26.63,2016-12-13T06:55:56.14,2016-12-13T08:38:46.21,DB_H23,B_H,0.69,5.6,7.88,18.9281,-1.0,-1.0,-1.0,1.28,0.92,0.82,1.0,0.7111,0.372,0.6797,,0.0059,0.0103,,5.9479,10.3326,,4.1,-1.0,-1.0,-1.0,5.718,5.721,,5.4426,90,90,-28.4732,2022-06-25_07-33-08,0,train,0.0,interactive,,0.04,0,2,0.6797,5.9479,0.9091,2,0.9545,2,2,75
HD_84075__2017-02-11__04-54-44,235,HD_84075,HIP_47135,,HIP_47135,,TYC_9400-1713-1,SAO_256643,HIP 47135_DB_H23_2017-02-10_ird_convert_recenter_dc2022_COBREX_333619,2017-02-11T04:54:44.15,2017-02-11T04:10:55.39,2017-02-11T05:38:32.17,DB_H23,B_H,0.51,6.1,11.0,35.2689,0.4055,0.7626,0.5413,1.82,1.32,21.3,0.8,,,0.5249,,,,,,,,4.0,0.6911,0.7316,0.6112,7.16,7.241,,8.4458,80,80,-24.4086,2022-06-25_08-19-38,0,train,0.0,interactive,,0.04,0,2,0.5249,6.1,0.8786,2,0.9136,2,2,79
HD_88955__2016-03-27__02-19-10,240,HD_88955,HIP_50191,,HIP_50191,HR_4023,TYC_7716-3704-1,SAO_221895,HIP 50191_DB_H23_2016-03-26_ird_convert_recenter_dc2022_COBREX_waffles_only_332234,2016-03-27T02:19:10.89,2016-03-27T01:50:03.97,2016-03-27T02:48:16.93,DB_H23,B_H,2.78,0.9,11.78,26.03,0.812,1.9533,1.3212,1.73,1.68,1.48,1.4,,,,2.7648,,,0.0009,,,0.9221,0.9,0.6535,0.8178,0.4407,3.74,3.75,3.83,3.8467,100,100,-40.6608,2022-06-24_23-42-23,0,train,0.0,interactive,,0.03,0,0,2.7648,0.9221,0.3396,0,0.6475,0,0,68
HD_88955__2018-01-05__08-09-37,241,HD_88955,HIP_50191,,HIP_50191,HR_4023,TYC_7716-3704-1,SAO_221895,HIP 50191_DB_H23_2018-01-04_ird_convert_recenter_dc2022_COBREX_waffles_only_333026,2018-01-05T08:09:37.77,2018-01-05T07:41:10.26,2018-01-05T08:43:40.83,DB_H23,B_H,0.55,7.8,1.33,33.4588,0.193,0.3481,0.268,0.81,0.79,0.73,1.0,0.6467,0.2277,0.5468,,0.0079,0.0081,,7.9002,8.1112,,10.0,0.9048,0.9222,0.873,3.74,3.75,3.83,3.8467,675,675,-44.3999,2022-06-25_06-03-15,0,train,0.0,interactive,,0.04,0,2,0.5468,7.9002,0.9388,2,0.972,2,2,462
HD_9054__2015-09-30__05-10-46,243,HD_9054,HIP_6856,,HIP_6856,,TYC_8474-825-1,,NAME HIP 6856 cc-2_DB_H23_2015-09-29_ird_convert_recenter_dc2022_COBREX_329045,2015-09-30T05:10:46.30,2015-09-30T04:24:07.83,2015-09-30T06:04:12.98,DB_H23,B_H,0.98,2.6,3.1,32.2242,0.2523,0.6224,0.3256,0.84,0.78,0.74,1.0,,,,1.0029,,,0.0025,,,2.5,3.0,0.7394,0.787,0.668,6.834,6.944,,8.9754,160,160,-46.3504,2022-06-13_12-27-37,0,train,0.0,interactive,,0.06,0,1,1.0029,2.5,0.6675,1,0.812,1,1,94
HD_987__2016-10-15__03-30-20,259,HD_987,HIP_1113,,HIP_1113,,TYC_9140-1231-1,SAO_255646,HIP 1113_DB_H23_2016-10-14_ird_convert_recenter_dc2022_COBREX_329110,2016-10-15T03:30:20.56,2016-10-15T02:39:59.60,2016-10-15T04:21:07.17,DB_H23,B_H,0.71,2.2,7.65,62.1151,-1.0,-1.0,-1.0,1.66,1.28,1.04,1.0,0.7643,0.5487,0.6978,,0.0022,0.0024,,2.2455,2.3861,,2.3,-1.0,-1.0,-1.0,6.962,7.087,,8.6543,90,90,-29.6775,2022-06-13_14-13-43,0,train,0.0,interactive,,0.05,0,1,0.6978,2.2455,0.6968,1,0.8492,1,1,69
HIP_113201__2016-09-18__03-41-55,262,HIP_113201,HIP_113201,,HIP_113201,,TYC_8453-729-1,,HIP 113201_DB_H23_2016-09-17_ird_convert_recenter_dc2022_COBREX_330640,2016-09-18T03:41:55.74,2016-09-18T03:00:45.26,2016-09-18T04:31:40.71,DB_H23,B_H,0.94,4.2,10.07,8.7503,-1.0,-1.0,-1.0,1.26,1.17,1.08,1.0,0.9472,0.6892,0.9369,,0.0042,0.0089,,4.2488,8.8511,,5.0,-1.0,-1.0,-1.0,7.418,7.66,10.52,10.6617,144,144,-43.3656,2022-06-17_18-19-44,0,train,0.0,interactive,,0.05,0,2,0.9369,4.2488,0.6015,1,0.7302,0,2,120
HIP_23200__2015-09-28__08-50-29,265,HIP_23200,GJ_182,,HIP_23200,,TYC_85-1075-1,,HIP 23200_DB_H23_2015-09-27_ird_convert_recenter_dc2022_COBREX_335247,2015-09-28T08:50:29.20,2015-09-28T08:15:19.98,2015-09-28T09:25:36.42,DB_H23,B_H,0.91,25.7,1.27,21.5741,0.1965,0.3589,0.2539,0.82,0.76,0.71,1.0,,,,0.9065,,,0.0226,,,22.5923,42.3,0.8203,0.8434,0.7964,6.261,6.45,9.603,9.3221,64,64,32.8749,2022-06-25_18-45-04,0,train,0.0,interactive,,0.06,1,0,0.9065,22.5923,0.7958,0,0.8009,-1,-1,64
TYC_1090-543-1__2016-09-17__01-28-31,278,TYC_1090-543-1,TYC_1090_0543_1,,,,TYC_1090-543-1,,2MASS J20542799+0906066_DB_H23_2016-09-16_ird_convert_recenter_dc2022_COBREX_waffles_only_329725,2016-09-17T01:28:31.80,2016-09-17T00:39:32.57,2016-09-17T02:18:00.43,DB_H23,B_H,0.62,17.0,0.75,14.522,-1.0,-1.0,-1.0,1.12,0.99,0.94,0.8,0.7379,0.361,0.6275,,0.0163,0.0185,,16.3158,18.5416,,29.6,-1.0,-1.0,-1.0,8.823,8.905,10.58,11.2543,75,75,37.4706,2022-06-16_12-08-49,0,train,0.0,interactive,,0.1,1,0,0.6275,16.3158,0.8067,0,0.7876,-1,-1,71
TYC_5882-1169-1__2016-09-18__09-13-52,284,TYC_5882-1169-1,PPM213757,,,,TYC_5882-1169-1,,2MASS J04021648-1521297_DB_H23_2016-09-17_ird_convert_recenter_dc2022_COBREX_330642,2016-09-18T09:13:52.38,2016-09-18T08:30:19.36,2016-09-18T10:05:21.71,DB_H23,B_H,0.84,4.7,10.82,6.5891,-1.0,-1.0,-1.0,1.04,1.02,0.95,1.0,0.8753,0.7438,0.8003,,0.0049,0.0067,,4.8819,6.6942,,4.7,-1.0,-1.0,-1.0,7.573,7.703,,9.7664,76,76,87.6469,2022-06-17_18-18-03,0,train,0.0,interactive,,0.03,0,2,0.8003,4.8819,0.7554,1,0.7769,0,2,64
TYC_7286-248-1__2015-05-13__03-59-04,296,TYC_7286-248-1,TYC_7286_0248_1,,,,TYC_7286-248-1,,2MASS J14172009-3230469_DB_H23_2015-05-12_ird_convert_recenter_dc2022_COBREX_332818,2015-05-13T03:59:04.36,2015-05-13T03:23:42.38,2015-05-13T04:34:23.92,DB_H23,B_H,1.05,3.0,2.35,28.0271,-1.0,-1.0,-1.0,0.77,0.76,0.69,1.0,,,,1.019,,,0.003,,,2.9633,3.4,-1.0,-1.0,-1.0,7.711,7.855,,10.3703,64,64,-82.4168,2022-06-25_04-21-59,0,train,0.0,interactive,,0.04,1,0,1.019,2.9633,0.482,0,0.7036,-1,-1,64
TYC_7617-549-1__2016-12-13__05-46-04,300,TYC_7617-549-1,TYC_7617_0549_1,,,,TYC_7617-549-1,,2MASS J06260690-4102538_DB_H23_2016-12-12_ird_convert_recenter_dc2022_COBREX_333312,2016-12-13T05:46:04.64,2016-12-13T05:02:17.40,2016-12-13T06:29:50.16,DB_H23,B_H,0.59,6.7,5.9,19.602,-1.0,-1.0,-1.0,0.86,0.84,0.78,0.8,0.6395,0.5354,0.6045,,0.0066,0.0072,,6.5805,7.2263,,6.1,-1.0,-1.0,-1.0,8.02,8.157,,9.8672,80,80,-63.9913,2022-06-25_07-29-53,0,train,0.0,interactive,,0.04,0,2,0.6045,6.5805,0.7968,1,0.781,0,2,68
TYC_8760-1468-1__2015-06-27__05-23-59,311,TYC_8760-1468-1,TYC_8760_1468_1,,,,TYC_8760-1468-1,,2MASS J19092150-5417073_DB_H23_2015-06-26_ird_convert_recenter_dc2022_COBREX_333187,2015-06-27T05:23:59.57,2015-06-27T04:40:12.75,2015-06-27T06:07:45.87,DB_H23,B_H,0.58,4.0,6.0,29.4995,0.2244,0.4478,0.303,0.85,0.78,0.74,1.4,,,,0.5813,,,0.0042,,,4.1844,3.5,0.7121,0.7881,0.5134,7.699,7.85,,9.7085,80,80,-39.3022,2022-06-25_06-56-44,0,train,0.0,interactive,,0.04,0,2,0.5813,4.1844,0.7779,1,0.7961,0,2,77
TYC_9340-437-1__2015-10-25__00-30-26,314,TYC_9340-437-1,TYC_9340_0437_1,,,,TYC_9340-437-1,,2MASS J22424896-7142211_DB_H23_2015-10-24_ird_convert_recenter_dc2022_COBREX_331721,2015-10-25T00:30:26.28,2015-10-24T23:40:53.62,2015-10-25T01:36:43.47,DB_H23,B_H,1.02,1.4,9.95,48.928,0.4658,1.3406,0.703,1.56,1.23,1.09,1.4,,,,1.0074,,,0.0016,,,1.6044,1.6,0.3508,0.4881,0.162,6.894,7.123,10.401,9.8217,80,80,-35.3562,2022-06-23_16-37-36,0,train,0.0,interactive,,0.03,0,1,1.0074,1.6044,0.2059,0,0.5702,0,1,72
